hs1	LINC00917-FENDRR	chr16:86,430,087-86,430,726	chr8:123,526,795-123,527,412
hs322	LOC100505768(intragenic)	chr1:87,821,793-87,822,910	chr3:143,836,778-143,837,913
hs323	LOC100505768-LOC101927891	chr1:88,028,658-88,029,378	chr3:143,645,615-143,646,335
hs324	TLX1-LBX1	chr10:102,978,822-102,979,600	chr19:45,300,035-45,300,810
hs326	BTRC(intragenic)	chr10:103,266,649-103,267,972	chr19:45,568,075-45,569,359
hs327	LOC100505768-LOC101927891	chr1:88,926,796-88,928,508	chr3:142,763,855-142,765,590
hs328	MIR4295-TCF7L2	chr10:114,403,685-114,404,566	chr19:55,551,090-55,552,027
hs329	ACADSB-HMX3	chr10:124,851,813-124,853,071	chr7:138,640,171-138,641,423
hs330	MIR4296-TEX36-AS1	chr10:126,905,322-126,906,003	chr7:140,381,463-140,382,124
hs331	MGMT(intragenic)	chr10:131,445,787-131,447,685	chr7:144,230,890-144,232,824
hs333	LMO1-STK33	chr11:8,317,705-8,318,230	chr7:116,346,326-116,346,855
hs334	LINC00900-BUD13	chr11:116,232,556-116,233,265	chr9:46,468,190-46,468,902
hs335	NTM(intragenic)	chr11:131,867,949-131,868,377	chr9:29,126,224-29,126,655
hs336	LMO3(intragenic)	chr12:16,715,315-16,716,360	chr6:138,327,938-138,329,028
hs337	PDZRN4(intragenic)	chr12:41,749,027-41,749,727	chr15:92,344,830-92,345,502
hs338	ATP5G2-CALCOCO1	chr12:54,090,636-54,091,341	chr15:102,524,648-102,525,376
hs339	DACH1(intragenic)	chr13:72,063,376-72,063,816	chr14:98,239,555-98,240,024
hs340	DACH1(intragenic)	chr13:72,256,090-72,256,838	chr14:98,418,259-98,419,007
hs341	LOC101927284-ABCC4	chr13:95,618,464-95,619,819	chr14:118,834,707-118,836,056
hs342	C14orf23-MIR548AI	chr14:29,860,529-29,862,348	chr12:51,222,566-51,224,516
hs343	PRKD1-G2E3	chr14:30,712,025-30,713,336	chr12:52,071,023-52,072,335
hs345	NPAS3(intragenic)	chr14:34,068,299-34,069,069	chr12:54,973,229-54,974,004
hs346	NPAS3(intragenic)	chr14:34,122,328-34,123,032	chr12:55,027,301-55,028,005
hs347	NPAS3(intragenic)	chr14:34,202,106-34,203,129	chr12:55,101,458-55,102,505
hs348	RALGAPA1(intragenic)	chr14:36,020,024-36,020,998	chr12:56,715,257-56,716,245
hs349	RALGAPA1(intragenic)	chr14:36,042,961-36,043,666	chr12:56,744,529-56,745,210
hs350	LINC00609(intragenic)	chr14:36,581,685-36,583,834	chr12:57,215,115-57,217,261
hs351	SYT7(intragenic)	chr11:61,311,775-61,314,751	chr19:10,496,275-10,499,161
hs352	LINC00618-LOC101929241	chr14:97,762,544-97,763,744	chr12:107,615,525-107,616,732
hs353	LINC00618-LOC101929241	chr14:97,879,188-97,880,071	chr12:107,717,554-107,718,451
hs354	DPH6-AS1(intragenic)	chr15:35,918,719-35,919,621	chr2:114,565,131-114,566,031
hs355	MIR4510-C15orf41	chr15:36,819,021-36,820,695	chr2:115,363,420-115,365,044
hs356	MIR8063-TMCO5A	chr15:37,521,824-37,522,951	chr2:116,038,361-116,039,487
hs357	TCF12(intragenic)	chr15:57,425,244-57,425,958	chr9:71,823,774-71,824,537
hs358	IQCH-IQCH-AS1	chr15:67,665,164-67,665,685	chr9:63,371,797-63,372,340
hs359	MIR629-UACA	chr15:70,391,576-70,392,613	chr9:61,217,865-61,218,876
hs361	CASZ1(intragenic)	chr1:10,757,664-10,758,631	chr4:148,271,337-148,272,328
hs362	MRM1-LHX1	chr17:35,011,848-35,012,557	chr11:84,579,575-84,580,271
hs363	AATF(intragenic)	chr17:35,329,349-35,329,944	chr11:84,309,790-84,310,422
hs364	AATF(intragenic)	chr17:35,336,093-35,337,226	chr11:84,294,628-84,295,746
hs366	USH2A(intragenic)	chr1:215,888,921-215,890,374	chr1:190,707,722-190,709,130
hs367	ZNF521(intragenic)	chr18:22,692,416-22,693,640	chr18:13,896,731-13,897,971
hs368	ZNF521(intragenic)	chr18:22,755,741-22,757,347	chr18:13,956,382-13,957,921
hs369	ZNF521(intragenic)	chr18:22,864,753-22,866,457	chr18:14,054,604-14,056,330
hs370	KIAA1328(intragenic)	chr18:34,480,079-34,481,120	chr18:25,399,096-25,400,141
hs371	CELF4(intragenic)	chr18:35,063,482-35,064,528	chr18:25,835,915-25,836,915
hs372	CELF4-MIR4318	chr18:35,178,249-35,179,130	chr18:25,950,122-25,950,991
hs373	MIR4318-LINC00669	chr18:35,564,526-35,565,346	chr18:26,355,181-26,355,986
hs374	MIR4318-LINC00669	chr18:36,062,696-36,063,956	chr18:26,941,872-26,943,128
hs375	SKOR2(intragenic)	chr18:44,770,271-44,771,284	chr18:77,101,442-77,102,462
hs376	TCF4(intragenic)	chr18:53,089,625-53,091,079	chr18:69,658,815-69,660,451
hs378	ZNF407(intragenic)	chr18:72,357,475-72,358,333	chr18:84,716,614-84,717,455
hs379	ZNF407(intragenic)	chr18:72,362,520-72,364,210	chr18:84,711,066-84,712,743
hs381	URI1(intragenic)	chr19:30,494,614-30,495,503	chr7:38,755,422-38,756,305
hs382	URI1-ZNF536	chr19:30,565,950-30,567,016	chr7:38,689,914-38,690,980
hs383	URI1-ZNF536	chr19:30,767,058-30,768,273	chr7:38,508,271-38,509,515
hs384	ZNF536(intragenic)	chr19:31,002,941-31,004,262	chr7:38,299,737-38,301,059
hs385	ZNF536-TSHZ3	chr19:31,587,058-31,588,070	chr7:37,729,671-37,730,763
hs386	TSHZ3(intragenic)	chr19:31,806,450-31,807,052	chr7:37,516,598-37,517,181
hs388	LOC100506274-LOC101929551	chr2:7,774,393-7,775,070	chr12:26,576,441-26,577,229
hs389	CASZ1(intragenic)	chr1:10,781,239-10,781,744	chr4:148,250,217-148,250,768
hs390	CCDC85A-VRK2	chr2:57,972,375-57,973,175	chr11:26,875,528-26,876,371
hs391	LINC01122(intragenic)	chr2:59,108,123-59,108,845	chr11:25,632,272-25,632,988
hs392	LINC01122(intragenic)	chr2:59,133,026-59,134,590	chr11:25,603,628-25,605,173
hs393	LINC01122(intragenic)	chr2:59,198,905-59,200,529	chr11:25,544,060-25,545,642
hs394	LOC101927285-MIR4432	chr2:59,746,377-59,746,992	chr11:25,013,307-25,013,939
hs395	LOC101927285-MIR4432	chr2:59,947,272-59,948,294	chr11:24,827,449-24,828,489
hs396	LOC101927285-MIR4432	chr2:60,137,953-60,139,763	chr11:24,608,578-24,610,421
hs397	LOC101927285-MIR4432	chr2:60,297,377-60,299,041	chr11:24,384,733-24,386,202
hs399	LOC101927285-MIR4432	chr2:60,441,495-60,442,515	chr11:24,270,835-24,271,855
hs400	SFXN5(intragenic)	chr2:73,174,800-73,175,769	chr6:85,167,999-85,168,940
hs401	TMEM182-LOC100287010	chr2:104,736,518-104,737,365	chr1:42,038,277-42,039,104
hs402	ARHGAP15(intragenic)	chr2:143,914,409-143,915,473	chr2:43,637,507-43,638,551
hs403	ARHGAP15(intragenic)	chr2:144,111,861-144,112,818	chr2:43,841,799-43,842,749
hs404	GTDC1(intragenic)	chr2:144,712,189-144,713,913	chr2:44,428,515-44,430,215
hs407	ZEB2(intragenic)	chr2:145,188,099-145,189,812	chr2:44,879,151-44,880,964
hs408	CASZ1(intragenic)	chr1:10,851,570-10,852,173	chr4:148,182,890-148,183,525
hs409	ZEB2(intragenic)	chr2:145,200,646-145,201,413	chr2:44,891,778-44,892,556
hs410	TEX41-PABPC1P2	chr2:147,133,970-147,134,751	chr2:46,989,342-46,990,130
hs411	KCNJ3-AC093375.1	chr2:156,726,581-156,727,605	chr2:56,428,876-56,429,891
hs412	AC093375.1(intragenic)	chr2:156,991,360-156,992,132	chr2:56,768,502-56,769,300
hs413	GPD2-GALNT5	chr2:157,551,014-157,551,952	chr2:57,369,718-57,370,658
hs414	GPD2-GALNT5	chr2:157,659,848-157,660,720	chr2:57,469,395-57,470,262
hs415	GPD2-GALNT5	chr2:157,899,792-157,900,721	chr2:57,672,819-57,673,759
hs416	LOC101929512(intragenic)	chr2:162,094,895-162,095,451	chr2:61,494,199-61,494,773
hs417	CASZ1-C1orf127	chr1:10,925,202-10,925,728	chr4:148,118,423-148,118,970
hs420	FIGN-GRB14	chr2:164,661,606-164,662,430	chr2:64,015,603-64,016,431
hs421	FIGN-GRB14	chr2:164,843,797-164,844,783	chr2:64,204,279-64,205,285
hs422	DLX1-DLX2	chr2:172,955,879-172,957,052	chr2:71,373,435-71,374,614
hs423	DLX1-DLX2	chr2:172,957,645-172,959,046	chr2:71,375,213-71,376,638
hs424	PITX2-C4orf32	chr4:111,914,861-111,917,609	chr3:128,552,237-128,554,925
hs425	LRP12-ZFPM2	chr8:105,961,524-105,963,694	chr15:40,185,580-40,187,818
hs426	SH3BGRL-POU3F4	chrX:81,788,884-81,790,571	chrX:107,272,299-107,276,758
hs427	CXorf66-LOC389895	chrX:139,169,379-139,171,545	chrX:57,796,579-57,798,664
hs428	STXBP6-NOVA1	chr14:26,377,372-26,378,803	chr12:47,121,350-47,122,759
hs429	MEF2C-AS1(intragenic)	chr5:88,179,457-88,179,988	chr13:83,662,873-83,663,380
hs430	URI1-ZNF536	chr19:30,840,299-30,843,536	chr7:38,434,580-38,437,752
hs431	LINC00348-DACH1	chr13:71,793,642-71,794,373	chr14:97,959,309-97,960,027
hs432	DACH1-MZT1	chr13:72,668,699-72,669,457	chr14:98,821,856-98,822,619
hs433	PRKD1-G2E3	chr14:30,741,750-30,743,626	chr12:52,102,388-52,104,278
hs434	C3orf14-FEZF2	chr3:62,350,726-62,351,718	chr14:13,169,988-13,170,954
hs435	FEZF2-CADPS	chr3:62,359,866-62,360,569	chr14:13,179,005-13,179,696
hs436	LPHN2-LOC101927498	chr1:82,557,436-82,558,140	chr3:148,362,751-148,363,443
hs437	LPHN2-LOC101927498	chr1:82,663,553-82,664,196	chr3:148,252,778-148,253,418
hs438	LPHN2-LOC101927498	chr1:82,664,608-82,665,419	chr3:148,251,573-148,252,398
hs439	LPHN2-LOC101927498	chr1:83,220,709-83,221,363	chr3:147,723,530-147,724,193
hs440	LPHN2-LOC101927498	chr1:83,252,219-83,253,218	chr3:147,695,329-147,696,335
hs441	LPHN2-LOC101927498	chr1:83,310,680-83,311,769	chr3:147,628,952-147,630,054
hs442	LPHN2-LOC101927498	chr1:83,345,366-83,346,271	chr3:147,593,379-147,594,286
hs443	LPHN2-LOC101927498	chr1:83,360,512-83,361,298	chr3:147,581,602-147,582,374
hs444	LPHN2-LOC101927498	chr1:83,411,289-83,412,040	chr3:147,525,305-147,526,045
hs445	LOC101927498-MIR548AP	chr1:83,878,319-83,879,217	chr3:147,106,757-147,107,791
hs461	LOC401324-HERPUD2	chr7:35,454,800-35,456,218	chr9:24,724,193-24,725,561
hs463	LOC401324-HERPUD2	chr7:35,505,184-35,506,342	chr9:24,778,361-24,779,483
hs464	TBX20-LOC401324	chr7:35,320,121-35,321,085	chr9:24,593,446-24,594,337
hs465	LOC401324-HERPUD2	chr7:35,590,614-35,591,629	chr9:24,859,812-24,860,833
hs466	TBX20(intragenic)	chr7:35,268,514-35,269,380	chr9:24,552,688-24,553,552
hs467	TBX20(intragenic)	chr7:35,275,271-35,276,121	chr9:24,558,958-24,559,803
hs468	TBX20-LOC401324	chr7:35,331,175-35,332,120	chr9:24,606,959-24,607,888
hs469	LOC401324(intragenic)	chr7:35,359,004-35,359,854	chr9:24,638,003-24,638,795
hs470	DPY19L2P1-TBX20	chr7:35,236,863-35,237,925	chr9:24,524,934-24,526,039
hs471	TBX20(intragenic)	chr7:35,254,518-35,255,251	chr9:24,541,529-24,542,245
hs472	LOC401324-HERPUD2	chr7:35,458,551-35,459,522	chr9:24,726,610-24,727,560
hs473	TBX20-LOC401324	chr7:35,342,478-35,343,110	chr9:24,615,996-24,616,598
hs474	LOC401324(intragenic)	chr7:35,388,314-35,389,035	chr9:24,665,060-24,665,760
hs476	ZBTB18(intragenic)	chr1:244,217,325-244,218,426	chr1:179,377,455-179,378,556
hs477	MECOM(intragenic)	chr3:168,833,392-168,834,540	chr3:29,878,744-29,879,892
hs478	LCOR(intragenic)	chr10:98,714,616-98,715,729	chr19:41,632,707-41,633,819
hs479	MED1(intragenic)	chr17:37,566,364-37,566,971	chr11:98,019,173-98,019,780
hs480	HM13-AS1-ID1	chr20:30,191,716-30,192,554	chr2:152,560,612-152,561,308
hs482	TBX3-MED13L	chr12:115,123,533-115,124,174	chr5:120,118,995-120,119,590
hs483	TBX3-MED13L	chr12:115,124,394-115,125,300	chr5:120,118,002-120,118,864
hs484	ZNF503-AS2(intragenic)	chr10:77,164,564-77,165,639	chr14:22,810,080-22,811,212
hs486	MIR4534-PICK1	chr22:38,394,345-38,395,199	chr15:79,006,251-79,006,980
hs487	NFAT5(intragenic)	chr16:69,680,967-69,681,481	chr8:109,862,745-109,863,259
hs488	GPR180-SOX21	chr13:95,358,263-95,360,017	chr14:118,628,839-118,630,633
hs489	MEIS2(intragenic)	chr15:37,191,408-37,192,621	chr2:115,696,979-115,698,218
hs490	MIR4534-PICK1	chr22:38,446,392-38,446,997	chr15:79,054,065-79,054,515
hs491	MIR4534-PICK1	chr22:38,429,240-38,430,515	chr15:79,039,233-79,040,207
hs492	MIR4534-PICK1	chr22:38,442,140-38,442,879	chr15:79,049,382-79,050,528
hs493	PAX3(intragenic)	chr2:223,079,383-223,080,439	chr1:78,111,403-78,112,422
hs494	SCRG1-HAND2	chr4:174,436,313-174,436,870	chr8:59,814,021-59,814,589
hs495	ANKRD1-LINC00502	chr10:92,690,021-92,690,674	chr19:36,203,529-36,204,076
hs496	MIR4534-PICK1	chr22:38,392,037-38,392,599	chr15:79,004,191-79,004,703
hs497	GP1BB-TBX1	chr22:19,741,204-19,741,707	chr16:18,593,325-18,593,777
hs498	RBM19-TBX5	chr12:114,660,367-114,661,006	chr5:120,426,570-120,427,199
hs499	TBX15(intragenic)	chr1:119,452,558-119,453,594	chr3:99,134,529-99,135,492
hs500	PITX2-C4orf32	chr4:111,578,273-111,578,827	chr3:128,881,350-128,881,853
hs501	HOTTIP-EVX1	chr7:27,249,858-27,251,057	chr6:52,220,427-52,221,609
hs502	GATA6(intragenic)	chr18:19,773,983-19,774,532	chr18:11,077,949-11,078,498
hs503	MEF2C-AS1-MIR3660	chr5:88,548,400-88,550,500	chr13:83,271,394-83,273,518
hs504	DNPEP-DES	chr2:220,271,494-220,272,006	chr1:75,343,741-75,344,205
hs505	BNIP1-NKX2-5	chr5:172,632,796-172,633,597	chr17:26,964,841-26,965,588
hs507	ENPEP-PITX2	chr4:111,530,174-111,530,773	chr3:128,930,112-128,930,684
hs508	GATA4(intragenic)	chr8:11,604,182-11,604,695	chr14:63,825,558-63,826,006
hs509	ISL1-PELO	chr5:50,707,567-50,709,204	chr13:117,068,698-117,070,232
hs511	FBXW4-FGF8	chr10:103,527,193-103,528,393	chr19:45,808,949-45,810,113
hs513	FGF8-NPM3	chr10:103,540,180-103,541,030	chr19:45,821,390-45,822,173
hs514	HAND1-MIR3141	chr5:153,871,627-153,871,976	chr11:57,660,964-57,661,295
hs515	TBX1(intragenic)	chr22:19,749,356-19,750,055	chr16:18,585,834-18,586,225
hs516	FGF10-AS1(intragenic)	chr5:44,389,166-44,390,467	chr13:119,502,417-119,503,819
hs517	SOX10(intragenic)	chr22:38,379,933-38,380,307	chr15:78,994,270-78,994,666
hs518	MIR6073-C11orf58	chr11:16,327,942-16,328,841	NULL
hs519	PMFBP1-ZFHX3	chr16:72,734,726-72,735,625	chr8:111,575,185-111,575,358
hs520	PAX2(intragenic)	chr10:102,551,472-102,552,372	chr19:44,875,741-44,877,029
hs521	AGAP1(intragenic)	chr2:236,773,458-236,774,696	chr1:91,610,325-91,611,486
hs522	GLI2-TFCP2L1	chr2:121,832,418-121,833,317	chr1:120,673,103-120,674,626
hs523	WNK1(intragenic)	chr12:974,062-974,779	chr6:119,915,454-119,916,163
hs526	NKX1-1-FAM53A	chr4:1,613,479-1,614,106	chr5:33,917,942-33,918,524
hs527	NPAS3(intragenic)	chr14:33,818,699-33,820,785	chr12:54,724,537-54,726,434
hs528	ZNF407(intragenic)	chr18:72,507,962-72,510,295	chr18:84,582,984-84,585,257
hs529	CNTLN(intragenic)	chr9:17,322,200-17,324,371	chr4:84,631,913-84,634,401
hs530	FBXL4-FAXC	chr6:99,424,724-99,426,847	chr4:22,227,979-22,230,177
hs532	GSX1-PDX1-AS1	chr13:28,395,961-28,397,536	chr5:148,034,236-148,035,797
hs533	LOC102467074-LINC01019	chr5:3,186,439-3,187,926	chr13:72,435,296-72,436,783
hs534	TEX41-PABPC1P2	chr2:146,797,628-146,799,643	chr2:46,657,127-46,659,132
hs536	THEG5-CTC-360P9.3	chr19:32,452,701-32,453,894	chr7:36,918,685-36,919,888
hs537	LOC100129520-LOC101928495	chrX:124,653,246-124,654,824	chrX:41,237,592-41,239,174
hs538	PKHD1(intragenic)	chr6:51,515,894-51,517,015	chr1:20,096,473-20,097,595
hs539	C14orf23-MIR548AI	chr14:29,365,021-29,366,135	chr12:50,611,383-50,612,491
hs540	ATXN8OS-LINC00348	chr13:71,358,093-71,359,507	chr14:97,500,095-97,501,460
hs541	MIR548AD-SIX3-AS1	chr2:45,030,569-45,032,739	chr17:85,886,808-85,889,010
hs542	MKI67-MGMT	chr10:129,964,063-129,965,094	chr7:142,948,513-142,949,539
hs543	ISL1-PELO	chr5:50,960,132-50,961,567	chr13:116,767,011-116,768,449
hs544	TEX41-PABPC1P2	chr2:146,412,340-146,413,619	chr2:46,182,286-46,183,577
hs545	AKT3(intragenic)	chr1:243,876,467-243,877,893	chr1:179,080,168-179,081,586
hs546	NR2F1-AS1(intragenic)	chr5:92,811,465-92,813,217	chr13:78,463,126-78,464,875
hs549	KCNJ3-AC093375.1	chr2:156,658,670-156,660,246	chr2:56,371,118-56,372,659
hs550	ARL4A-ETV1	chr7:13,506,207-13,507,276	chr12:40,027,691-40,028,748
hs551	KCNJ3-AC093375.1	chr2:156,584,380-156,586,345	chr2:56,307,699-56,309,676
hs552	GALR1-LINC01029	chr18:75,544,627-75,545,680	chr18:82,048,719-82,049,764
hs553	METAP1D(intragenic)	chr2:172,936,519-172,938,249	chr2:71,354,541-71,356,276
hs554	SH3BGRL-POU3F4	chrX:81,978,920-81,979,942	chrX:107,513,425-107,514,459
hs555	MIR548AI(intragenic)	chr14:29,997,171-29,998,891	chr12:51,395,617-51,397,341
hs556	TLE1(intragenic)	chr9:84,299,210-84,300,117	chr4:71,857,521-71,858,399
hs557	ARRDC3-AS1-NR2F1-AS1	chr5:91,803,813-91,804,707	chr13:79,731,501-79,732,387
hs558	ZC3H3(intragenic)	chr8:144,613,510-144,614,569	chr15:75,665,242-75,666,202
hs559	PITX2-C4orf32	chr4:112,421,802-112,422,905	chr3:128,153,108-128,154,203
hs560	ATP9B(intragenic)	chr18:77,002,193-77,002,977	chr18:81,015,051-81,015,831
hs561	LMO3-SKP1P2	chr12:16,869,033-16,871,415	chr6:138,462,275-138,464,624
hs562	MKI67-MGMT	chr10:131,106,522-131,108,742	chr7:143,928,837-143,931,023
hs563	MIR2113-POU3F2	chr6:98,491,829-98,493,238	chr4:23,528,918-23,530,319
hs564	SOX10-MIR4534	chr22:38,381,623-38,382,457	chr15:78,995,947-78,996,753
hs565	ELP4(intragenic)	chr11:31,622,822-31,624,118	chr2:105,673,544-105,674,854
hs566	C14orf23-MIR548AI	chr14:29,684,896-29,686,744	chr12:51,045,696-51,047,526
hs567	LOC101927314-MIR2113	chr6:98,461,952-98,463,309	chr4:23,563,208-23,564,555
hs568	TEX41-PABPC1P2	chr2:146,692,288-146,693,283	chr2:46,525,020-46,526,015
hs569	ARID1A(intragenic)	chr1:27,049,620-27,050,905	chr4:133,284,966-133,286,220
hs571	SOX1-LINC01070	chr13:112,793,153-112,794,130	chr8:12,462,372-12,463,356
hs572	MIR8063-TMCO5A	chr15:37,512,674-37,514,557	chr2:116,026,591-116,028,483
hs573	GPD2-GALNT5	chr2:157,861,101-157,862,409	chr2:57,645,688-57,646,987
hs574	OLA1(intragenic)	chr2:175,041,403-175,042,500	chr2:73,017,815-73,018,848
hs575	PCDH9-AS4-LINC00550	chr13:68,429,117-68,430,526	chr14:94,920,369-94,921,765
hs576	MCHR2-AS1-SIM1	chr6:100,657,912-100,659,391	chr10:50,976,872-50,978,360
hs577	CCDC73(intragenic)	chr11:32,808,120-32,809,049	chr2:104,733,937-104,734,869
hs578	BUB3-GPR26	chr10:125,188,987-125,190,075	chr7:138,969,362-138,970,449
hs579	SKP1P2-RERGL	chr12:17,824,855-17,826,335	chr6:139,227,053-139,228,521
hs580	KCNJ3-AC093375.1	chr2:156,403,022-156,404,115	chr2:56,109,707-56,110,758
hs581	RBFOX2(intragenic)	chr22:36,145,691-36,146,713	chr15:76,919,509-76,920,522
hs582	SH3BGRL-POU3F4	chrX:81,464,240-81,465,016	chrX:107,040,272-107,041,048
hs583	LOC101927502-SPATA31D5P	chr9:84,438,198-84,439,339	chr4:72,043,023-72,044,149
hs584	LINC01103-LINC01114	chr2:105,254,095-105,256,398	chr1:42,528,432-42,530,698
hs585	SH3BGRL-POU3F4	chrX:82,082,530-82,083,211	chrX:107,572,726-107,573,410
hs586	LOC100287592-LOC642366	chr5:50,481,472-50,482,478	chr13:117,287,449-117,288,461
hs587	CCNE1-URI1	chr19:30,379,565-30,380,645	chr7:38,835,411-38,836,488
hs588	SOX3-LINC00632	chrX:139,674,499-139,675,403	chrX:58,247,232-58,248,145
hs589	MGMT(intragenic)	chr10:131,514,821-131,516,186	chr7:144,283,419-144,284,770
hs590	KIAA1328(intragenic)	chr18:34,719,386-34,720,720	chr18:25,535,871-25,537,147
hs592	MBIP-SFTA3	chr14:36,814,302-36,815,937	chr12:57,487,848-57,489,461
hs593	MIPOL1(intragenic)	chr14:37,726,340-37,727,348	chr12:58,392,364-58,393,371
hs595	ADK(intragenic)	chr10:76,177,765-76,179,000	chr14:22,071,224-22,072,450
hs596	TLX3-MIR3912	chr5:170,749,163-170,750,485	chr11:33,091,798-33,093,112
hs597	ZIC3-LINC00889	chrX:137,064,390-137,065,532	chrX:55,698,593-55,699,738
hs598	MIR548AI(intragenic)	chr14:29,927,484-29,928,818	chr12:51,291,542-51,292,872
hs599	MIR8063-TMCO5A	chr15:37,652,783-37,654,460	chr2:116,149,138-116,150,802
hs600	LOC100129034-NR5A1	chr9:127,123,220-127,124,245	chr2:38,450,222-38,451,240
hs601	MIR4275-PCDH7	chr4:28,892,552-28,893,688	chr5:56,367,340-56,368,412
hs602	RSRC1(intragenic)	chr3:157,850,874-157,852,181	chr3:66,813,299-66,814,545
hs603	LOC102467074-LINC01019	chr5:3,182,218-3,183,271	chr13:72,439,820-72,440,870
hs604	LINC00645-FOXG1	chr14:28,599,596-28,600,469	chr12:49,735,471-49,736,333
hs605	SKP1P2-MIR3974	chr12:17,657,732-17,659,008	chr6:139,091,377-139,092,645
hs606	FIGN-GRB14	chr2:164,657,051-164,658,028	chr2:64,010,074-64,011,050
hs607	MGST1-LMO3	chr12:16,610,045-16,611,936	chr6:138,199,417-138,201,368
hs608	RANBP17(intragenic)	chr5:170,458,792-170,460,097	chr11:33,299,828-33,301,076
hs609	TEX41-PABPC1P2	chr2:147,172,004-147,173,802	chr2:47,039,102-47,040,857
hs610	TSHZ2(intragenic)	chr20:51,736,594-51,737,737	chr2:169,593,893-169,595,049
hs611	CUX2(intragenic)	chr12:111,495,397-111,496,252	chr5:122,482,511-122,483,364
hs612	BARHL2-ZNF644	chr1:91,305,562-91,307,215	chr5:106,993,349-106,995,037
hs613	ARRDC3-AS1-NR2F1-AS1	chr5:91,194,524-91,195,362	chr13:80,473,073-80,473,901
hs614	LINC00358-LINC00395	chr13:63,681,506-63,682,317	chr14:90,262,298-90,263,235
hs615	URI1-ZNF536	chr19:30,861,188-30,862,816	chr7:38,412,793-38,414,457
hs616	ATP5G3-KIAA1715	chr2:176,754,029-176,755,385	chr2:74,327,984-74,329,357
hs617	TEX41-PABPC1P2	chr2:146,002,552-146,003,648	chr2:45,691,682-45,692,777
hs618	SPATA31D1-RASEF	chr9:85,509,632-85,510,687	chr4:73,149,468-73,150,526
hs619	DACH1(intragenic)	chr13:72,333,516-72,334,988	chr14:98,471,700-98,473,200
hs620	ZCCHC7(intragenic)	chr9:37,336,630-37,338,306	chr4:44,930,235-44,931,853
hs621	TEX29-SOX1	chr13:112,037,298-112,038,041	chr8:11,896,202-11,896,925
hs622	C14orf177-BCL11B	chr14:99,466,200-99,467,144	chr12:109,016,128-109,017,121
hs623	TCF12(intragenic)	chr15:57,426,028-57,426,952	chr9:71,822,793-71,823,707
hs624	MCTP2-LOC440311	chr15:95,335,996-95,337,446	chr7:78,890,759-78,892,608
hs625	ZNF423(intragenic)	chr16:49,735,099-49,736,449	chr8:90,359,869-90,361,168
hs626	NEUROD1-SSFA2	chr2:182,551,041-182,551,809	chr2:79,301,634-79,302,429
hs627	NEUROD2-PPP1R1B	chr17:37,774,485-37,774,988	chr11:98,200,316-98,200,799
hs628	CBWD1(intragenic)	chr9:159,657-160,780	chr19:25,019,886-25,021,034
hs629	EVX1-HIBADH	chr7:27,288,268-27,289,491	chr6:52,269,076-52,270,281
hs630	FOXP1-MIR1284	chr3:71,277,312-71,278,956	chr6:99,139,651-99,141,458
hs631	KCNU1-ZNF703	chr8:36,957,851-36,958,723	chr8:27,495,259-27,496,119
hs632	EBF4(intragenic)	chr20:2,719,208-2,719,789	chr2:130,177,541-130,178,125
hs633	MIR548BA-LOC100506858	chr5:2,112,055-2,113,430	chr13:73,254,065-73,255,480
hs634	LINC01029-SALL3	chr18:76,006,820-76,008,476	chr18:81,705,917-81,707,509
hs635	IKZF1(intragenic)	chr7:50,449,432-50,450,191	chr11:11,653,230-11,653,961
hs636	RSRC1(intragenic)	chr3:157,882,303-157,883,963	chr3:66,839,929-66,841,573
hs638	C3orf55-SHOX2	chr3:157,589,226-157,590,363	chr3:66,504,708-66,505,840
hs640	FIGN(intragenic)	chr2:164,574,007-164,575,458	chr2:63,917,312-63,918,796
hs641	ZNF618(intragenic)	chr9:116,726,436-116,727,813	chr4:62,718,032-62,719,420
hs643	LINC01239-ELAVL2	chr9:23,004,730-23,005,789	chr4:90,103,989-90,105,031
hs644	HDAC9-TWIST1	chr7:18,885,971-18,887,230	chr12:34,884,495-34,885,741
hs645	KHDRBS1-TMEM39B	chr1:32,510,030-32,510,913	chr4:129,390,710-129,391,581
hs646	HAT1(intragenic)	chr2:172,820,365-172,821,314	chr2:71,256,612-71,257,540
hs647	MIR3974-RERGL	chr12:18,229,480-18,230,430	chr6:139,424,247-139,425,202
hs648	LRP12-ZFPM2	chr8:105,880,860-105,882,147	chr15:40,087,266-40,088,557
hs649	TEX41-PABPC1P2	chr2:146,689,050-146,690,099	chr2:46,521,795-46,522,893
hs651	SATB1-KCNH8	chr3:18,898,614-18,899,860	chr17:52,447,155-52,448,401
hs653	IL20RB-SOX14	chr3:137,185,964-137,186,866	chr9:100,031,290-100,032,189
hs654	ZIC1-AGTR1	chr3:147,801,015-147,802,169	chr9:90,587,647-90,588,760
hs655	LOC101928882(intragenic)	chr3:180,461,825-180,462,874	chr3:33,804,131-33,805,100
hs656	MGMT(intragenic)	chr10:131,400,948-131,402,279	chr7:144,193,692-144,194,957
hs657	LRBA(intragenic)	chr4:151,493,651-151,494,654	chr3:86,360,530-86,361,536
hs658	AUTS2(intragenic)	chr7:69,702,231-69,703,615	chr5:132,424,315-132,425,643
hs659	RALGAPB(intragenic)	chr20:37,148,390-37,149,749	chr2:158,264,777-158,266,124
hs660	SMAD6-SMAD3	chr15:67,198,974-67,200,134	chr9:63,728,005-63,729,314
